Fluides Type;REG Dimension ;BOX Dimension;Alpha Max;Alpha Min;Alpha peak;Width;f (alpha max);f (alpha min);f (alpha peak);Right height;Left height;C values
GAZ;1.6471;1.6117;0.77;0.37;0.66;0.4;0.88;0.64;1;0.12;0.36;0.24
GAZ;1.6336;1.6384;0.6;0.18;0.44;0.42;0.85;0.78;1;0.15;0.22;0.07
GAZ;1.6011;1.6297;0.38;0.232;0.355;0.148;0.951;0.81;1;0.049;0.19;0.141
GAZ;1.5814;1.6393;0.11;0.05;0.11;0.06;0.938;0.83;0.938;0;0.108;0.108
GAZ;1.555;1.6747;0.575;0.29;0.5;0.285;0.9;0.76;1;0.1;0.24;0.14
GAZ;1.5318;1.6763;0.66;0.34;0.55;0.32;0.86;0.73;1;0.14;0.27;0.13
GAZ;1.721;1.5746;0.5;0.22;0.47;0.28;0.96;0.69;1;0.04;0.31;0.27
GAZ;1.7305;1.5408;0.295;0.253;0.295;0.042;0.94;0.84;0.94;0;0.1;0.1
GAZ;1.7516;1.5442;0.39;0.23;0.39;0.16;0.99;0.82;0.99;0;0.17;0.17
GAZ;1.6912;1.5802;0.338;0.23;0.338;0.108;0.84;0.64;0.84;0;0.2;0.2
GAZ;1.6378;1.5834;0.74;0.37;0.6;0.37;0.81;0.71;1;0.19;0.29;0.1
GAZ;1.8077;1.567;0.37;0.22;0.37;0.15;0.92;0.65;0.92;0;0.27;0.27
GAZ;1.805;1.5369;0.288;0.254;0.288;0.034;0.85;0.756;0.85;0;0.094;0.094
GAZ;1.8207;1.5426;0.9;0.74;0.9;0.16;0.93;0.68;0.93;0;0.25;0.25
GAZ;1.7419;1.5777;0.5;0.23;0.5;0.27;0.96;0.68;0.96;0;0.28;0.28
GAZ;1.6875;1.577;0.8;0.37;0.66;0.43;0.88;0.66;1;0.12;0.34;0.22
GAZ;1.8066;1.5882;0.387;0.22;0.387;0.167;0.96;0.7;0.96;0;0.26;0.26
GAZ;1.8066;1.5581;0.355;0.253;0.307;0.102;0.855;0.85;0.964;0.109;0.114;0.005
GAZ;1.8234;1.5641;0.485;0.41;0.41;0.075;0.91;0.999;0.999;0.089;0;0.089
GAZ;1.7366;1.6001;0.284;0.231;0.284;0.053;0.835;0.721;0.835;0;0.114;0.114
GAZ;1.6779;1.6001;0.565;0.37;0.545;0.195;0.97;0.72;0.99;0.02;0.27;0.25
GAZ;1.6726;1.5985;0.07;-0.22;0.07;0.29;0.97;0.66;0.97;0;0.31;0.31
GAZ;1.6191;1.5829;0.128;-0.01;0.128;0.138;0.999;0.862;0.999;0;0.137;0.137
GAZ;1.547;1.5865;0.288;0.242;0.288;0.046;0.87;0.77;0.87;0;0.1;0.1
GAZ;1.5144;1.6273;0.315;0.224;0.315;0.091;0.8;0.63;0.8;0;0.17;0.17
GAZ;1.4862;1.628;0.72;0.37;0.63;0.35;0.94;0.71;1;0.06;0.29;0.23
GAZ;1.671;1.6283;0.6;0.24;0.48;0.36;0.864;0.802;1;0.136;0.198;0.062
GAZ;1.6355;1.6176;0.378;0.281;0.378;0.097;0.97;0.77;0.97;0;0.2;0.2
GAZ;1.6125;1.6263;0.414;0.349;0.414;0.065;0.93;0.84;0.93;0;0.09;0.09
GAZ;1.5802;1.6632;0.57;0.28;0.54;0.29;0.92;0.58;1;0.08;0.42;0.34
GAZ;1.5583;1.6644;0.69;0.33;0.62;0.36;0.9;0.57;1;0.1;0.43;0.33
GAZ;1.6622;1.6257;0.78;0.18;0.6;0.6;0.77;0.72;1;0.23;0.28;0.05
GAZ;1.6291;1.6229;0.6;0.22;0.46;0.38;0.87;0.74;1;0.13;0.26;0.13
GAZ;1.6044;1.632;0.33;0.2;0.33;0.13;0.96;0.74;0.96;0;0.22;0.22
GAZ;1.5816;1.669;0.73;0.28;0.62;0.45;0.92;0.65;1;0.08;0.35;0.27
GAZ;1.5721;1.6833;0.82;0.32;0.62;0.5;0.71;0.64;1;0.29;0.36;0.07
GAZ;1.6568;1.6129;0.49;0.17;0.38;0.32;0.9;0.78;1;0.1;0.22;0.12
GAZ;1.6261;1.6072;0.4;0.22;0.39;0.18;0.98;0.75;1;0.02;0.25;0.23
GAZ;1.6027;1.614;0.73;0.49;0.73;0.24;1;0.86;1;0;0.14;0.14
GAZ;1.58;1.65;0.54;0.29;0.44;0.25;0.92;0.74;1;0.08;0.26;0.18
GAZ;1.5718;1.664;0.54;0.33;0.47;0.21;0.85;0.74;0.99;0.14;0.25;0.11
GAZ;1.741;1.6084;0.51;0.22;0.39;0.29;0.81;0.75;1;0.19;0.25;0.06
GAZ;1.758;1.5899;0.3;0.224;0.3;0.076;0.85;0.73;0.85;0;0.12;0.12
GAZ;1.7836;1.6036;0.49;0.23;0.49;0.26;0.98;0.68;0.98;0;0.3;0.3
GAZ;1.7028;1.6247;0.398;0.238;0.398;0.16;0.85;0.54;0.85;0;0.31;0.31
GAZ;1.6336;1.6326;0.64;0.37;0.62;0.27;0.92;0.6;0.99;0.07;0.39;0.32
GAZ;1.8403;1.6288;0.368;0.225;0.315;0.143;0.79;0.76;0.94;0.15;0.18;0.03
GAZ;1.845;1.6159;1.1;0.5;0.88;0.6;0.93;0.74;1;0.07;0.26;0.19
GAZ;1.8646;1.6332;0.249;0.233;0.249;0.016;0.878;0.851;0.878;0;0.027;0.027
GAZ;1.7518;1.6534;0.8;0.52;0.72;0.28;1;0.89;1;0;0.11;0.11
GAZ;1.6766;1.658;0.519;0.38;0.517;0.139;0.84;0.6;0.89;0.05;0.29;0.24
GAZ;1.8267;1.6599;0.39;0.225;0.39;0.165;0.94;0.64;0.94;0;0.3;0.3
GAZ;1.8319;1.65;0.49;0.26;0.49;0.23;0.94;0.55;0.94;0;0.39;0.39
GAZ;1.8526;1.67;0.49;0.24;0.49;0.25;0.99;0.7;0.99;0;0.29;0.29
GAZ;1.7282;1.6932;0.58;0.24;0.58;0.34;0.98;0.48;0.98;0;0.5;0.5
GAZ;1.6549;1.6985;0.91;0.39;0.74;0.52;0.76;0.53;1;0.24;0.47;0.23
GAZ;1.812;1.6762;0.385;0.225;0.385;0.16;0.91;0.6;0.91;0;0.31;0.31
GAZ;1.812;1.6695;0.3;0.255;0.3;0.045;0.75;0.63;0.75;0;0.12;0.12
GAZ;1.8488;1.6883;0.378;0.235;0.378;0.143;0.944;0.761;0.944;0;0.183;0.183
GAZ;1.7313;1.7083;0.385;0.235;0.385;0.15;0.86;0.57;0.86;0;0.29;0.29
GAZ;1.6601;1.7135;0.73;0.38;0.65;0.35;0.81;0.56;0.99;0.18;0.43;0.25
OIL;1.4309;1.836;3;-0.2;1.4;3.2;-0.21;-0.51;1;1.21;1.51;0.3
OIL;1.4193;1.8276;6;-0.6;1.35;6.6;0.45;0.22;1;0.55;0.78;0.23
OIL;1.4423;1.825;2.2;-0.6;0.9;2.8;0.61;0.32;1;0.39;0.68;0.29
OIL;1.3979;1.801;2.2;0.2;1.2;2;1;-0.18;1;0;1.18;1.18
OIL;1.3535;1.8139;2.19;0.95;1.55;1.24;-0.3;0.21;1;1.3;0.79;0.51
OIL;1.4248;1.7674;3;-0.15;1.8;3.15;-0.1;-0.9;1;1.1;1.9;0.8
OIL;1.4259;1.7673;3;-0.3;2;3.3;0.7;-0.7;1;0.3;1.7;1.4
OIL;1.4552;1.7645;2.2;0;1.7;2.2;0.9;-0.45;1;0.1;1.45;1.35
OIL;1.4466;1.7383;2;0.3;1.9;1.7;1;-1.2;1;0;2.2;2.2
OIL;1.4219;1.7507;1.5;0.38;1.5;1.12;1;-0.28;1;0;1.28;1.28
GAZ;1.7057;1.4708;0.24;-0.16;-0.04;0.4;0.87;1;1;0.13;0;0.13
GAZ;1.6799;1.6526;0.14;-0.1;0.07;0.24;1;0.9;1;0;0.1;0.1
GAZ;1.6954;1.6922;0.16;-0.06;-0.04;0.22;0.74;1;1;0.26;0;0.26
GAZ;1.7137;1.7028;0.46;-0.09;0.02;0.55;0.43;0.96;1;0.57;0.04;0.53
GAZ;1.7612;1.714;0.64;-0.06;0.12;0.7;0.33;0.9;1;0.67;0.1;0.57
GAZ;1.7854;1.3859;0.72;0.21;0.44;0.51;0.8;0.75;1;0.2;0.25;0.05
GAZ;1.6416;1.414;0.08;-0.6;-0.05;0.68;1;0.6;1;0;0.4;0.4
GAZ;1.62;1.5936;1.35;0.37;0.9;0.98;0.65;0.41;1;0.35;0.59;0.24
GAZ;1.6516;1.7159;0.74;0.4;0.72;0.34;0.91;0.41;0.95;0.04;0.54;0.5
GAZ;1.7259;1.6869;1.7;0.7;1.2;1;0.62;0.48;1;0.38;0.52;0.14
GAZ;1.6174;1.7164;1.3;0.31;0.84;0.99;0.75;0.67;1;0.25;0.33;0.08
GAZ;1.8068;1.4489;0.26;-0.28;-0.06;0.54;0.9;0.95;1;0.1;0.05;0.05
GAZ;1.7866;1.4482;1;0.73;0.97;0.27;0.98;0.65;1;0.02;0.35;0.33
GAZ;1.7702;1.467;1.08;0.5;0.7;0.58;0.55;0.72;1;0.45;0.28;0.17
GAZ;1.7902;1.4077;0.01;-0.38;-0.26;0.39;0.89;1;1;0.11;0;0.11
GAZ;1.7342;1.6131;1.4;0.3;0.79;1.1;0.85;0.53;1;0.15;0.47;0.32
GAZ;1.8209;1.3999;0.58;0.32;0.58;0.26;1;0.61;1;0;0.39;0.39
GAZ;1.8051;1.4175;0.53;0.17;0.5;0.36;0.91;0.51;0.99;0.08;0.48;0.4
GAZ;1.8093;1.3574;-0.04;-0.46;-0.28;0.42;0.93;0.98;1;0.07;0.02;0.05
OIL;1.2932;1.7638;2.4;0.2;1.6;2.2;0.2;-0.48;1;0.8;1.48;0.68
OIL;1.4299;1.7699;1.45;0.22;1.07;1.23;0.61;-0.22;1;0.39;1.22;0.83
OIL;1.4471;1.7739;2.75;-0.2;1.4;2.95;-0.3;-0.7;1;1.3;1.7;0.4
OIL;1.4425;1.7807;2.3;-0.6;0.7;2.9;0.01;0.12;1;0.99;0.88;0.11
OIL;1.4747;1.8071;1.2;-0.58;0.88;1.78;1;-0.18;1;0;1.18;1.18
GAZ;1.6401;1.6165;1.05;0.45;0.65;0.6;0.57;0.86;1;0.43;0.14;0.29
GAZ;1.6359;1.6277;0.85;0.42;0.57;0.43;0.72;0.89;1;0.28;0.11;0.17
GAZ;1.6322;1.6315;0.91;0.45;0.61;0.46;0.66;0.88;1;0.34;0.12;0.22
GAZ;1.6378;1.6729;0.86;0.42;0.59;0.44;0.68;0.87;1;0.32;0.13;0.19
GAZ;1.6188;1.6875;1.03;0.48;0.71;0.55;0.66;0.78;1;0.34;0.22;0.12
OIL;1.272;1.8326;2.75;0;1.6;2.75;0.42;-0.02;1;0.58;1.02;0.44
OIL;1.2783;1.8259;4.2;1.7;3.6;2.5;0.85;-0.6;1;0.15;1.6;1.45
OIL;1.273;1.8286;4.8;2.1;4;2.7;0.4;-1.35;1;0.6;2.35;1.75
OIL;1.2654;1.8255;4.35;1.7;3.8;2.65;0.85;-1.1;1;0.15;2.1;1.95
OIL;1.2468;1.8265;4.68;2.1;3.9;2.58;0.75;-0.8;1;0.25;1.8;1.55
OIL;1.4704;1.9326;3;0.15;1.45;2.85;-0.08;0.19;1;1.08;0.81;0.27
OIL;1.5431;1.8728;1.7;-2.27;-0.4;3.97;-0.3;-0.34;1;1.3;1.34;0.04
OIL;1.2615;1.8675;1.1;-0.9;0.4;2;0.59;-0.1;1;0.41;1.1;0.69
OIL;1.3279;1.8858;1.75;-0.7;0.9;2.45;0.48;-0.38;1;0.52;1.38;0.86
OIL;1.273;1.9014;2.98;-0.65;1.49;3.63;-0.44;-0.84;1;1.44;1.84;0.4
OIL;1.5881;1.8206;4.8;1.5;3;3.3;-0.9;-0.48;1;1.9;1.48;0.42
OIL;1.4548;1.8351;2.5;1;2.33;1.5;1;-0.5;1;0;1.5;1.5
OIL;1.3897;1.8302;3.45;-1.4;1.48;4.85;-2.4;-1.6;1;3.4;2.6;0.8
OIL;1.3849;1.8376;1;-0.34;0.55;1.34;0.54;0.04;1;0.46;0.96;0.5
OIL;1.4494;1.8341;2.98;1.41;2.75;1.57;1;-0.38;1;0;1.38;1.38
OIL;1.3073;1.8649;1.95;-0.7;0.2;2.65;-0.8;0.22;1;1.8;0.78;1.02
OIL;1.4992;1.8136;1.87;0.65;1.68;1.22;0.33;-0.6;0.99;0.66;1.59;0.93
OIL;1.3737;1.8207;1.7;-0.45;0.68;2.15;0.38;0.39;1;0.62;0.61;0.01
OIL;1.3581;1.8398;2.25;-0.5;0.7;2.75;-0.6;0;1;1.6;1;0.6
OIL;1.4089;1.8686;1.6;-0.9;0.5;2.5;-0.02;-0.8;1;1.02;1.8;0.78
OIL;1.5177;1.7415;1.2;-1.9;0.05;3.1;-0.8;-2;1;1.8;3;1.2
OIL;1.5234;1.7813;3.5;1;2.1;2.5;-0.8;0.37;1;1.8;0.63;1.17
OIL;1.4975;1.7386;0.6;-0.92;0.28;1.52;0.84;0.06;1;0.16;0.94;0.78
OIL;1.4555;1.7549;3.3;-1.2;0.7;4.5;-2.4;0;1;3.4;1;2.4
OIL;1.4899;1.7406;0.95;-0.94;-0.38;1.89;0.18;0.95;1;0.82;0.05;0.77
GAZ;1.5219;1.67;0.265;0.13;0.23;0.135;0.99;0.9;1;0.01;0.1;0.09
GAZ;1.5807;1.7485;0.95;0.26;0.6;0.69;0.6;0.54;1;0.4;0.46;0.06
GAZ;1.6106;1.7224;1.4;0.7;0.98;0.7;0.61;0.79;1;0.39;0.21;0.18
GAZ;1.5952;1.7145;1.38;0.69;0.93;0.69;0.57;0.82;1;0.43;0.18;0.25
GAZ;1.5375;1.6916;1.24;0.5;0.82;0.74;0.62;0.7;1;0.38;0.3;0.08
GAZ;1.4696;1.6892;0.42;0.21;0.42;0.21;0.87;0.55;0.87;0;0.32;0.32
GAZ;1.641;1.7718;1.21;0.61;0.9;0.6;0.47;0.42;1;0.53;0.58;0.05
GAZ;1.6438;1.7396;1.55;1.13;1.19;0.42;0.62;1;1;0.38;0;0.38
GAZ;1.5962;1.717;1.82;1.05;1.22;0.77;0.5;0.99;1;0.5;0.01;0.49
GAZ;1.5338;1.7116;1.47;0.75;0.9;0.72;0.39;0.85;1;0.61;0.15;0.46
OIL;1.4697;1.9365;1.8;-0.49;1.1;2.29;0.62;-0.22;1;0.38;1.22;0.84
OIL;1.5061;1.9233;2.5;0;2;2.5;1;-0.1;1;0;1.1;1.1
OIL;1.3627;1.9156;3;-0.4;0.9;3.4;-0.5;0.41;1;1.5;0.59;0.91
OIL;1.3576;1.9137;3.8;0.25;2.25;3.55;-0.1;-0.5;1;1.1;1.5;0.4
OIL;1.3163;1.922;2.25;-0.4;1.6;2.65;0.62;-0.8;1;0.38;1.8;1.42
OIL;1.5084;1.8928;2.4;0.05;1.12;2.35;-0.27;0.23;1;1.27;0.77;0.5
OIL;1.4401;1.8727;0.81;-0.78;0.42;1.59;0.21;-0.9;1;0.79;1.9;1.11
OIL;1.3879;1.875;2.5;0.2;1.65;2.3;0.18;-0.79;1;0.82;1.79;0.97
OIL;1.3869;1.9257;2.65;0.41;1;2.24;-1;0.72;1;2;0.28;1.72
OIL;1.3572;1.8964;1.5;-2.5;-0.6;4;-0.18;0.02;1;1.18;0.98;0.2
OIL;2.0655;1.5019;2.15;-1.2;1;3.35;0.56;-0.57;1;0.44;1.57;1.13
OIL;1.4934;1.7626;1.61;0.21;0.45;1.4;-0.5;1;1;1.5;0;1.5
OIL;1.4084;1.8479;2.05;-0.6;1.25;2.65;0.25;-1.35;1;0.75;2.35;1.6
OIL;1.3829;1.8434;6.5;3.8;4.5;2.7;-0.8;0.7;1;1.8;0.3;1.5
OIL;1.3778;1.7178;1.38;-1.76;0.9;3.14;0.99;-1;1;0.01;2;1.99
OIL;1.7588;1.8608;1.69;0.59;1.45;1.1;0.86;0.29;1;0.14;0.71;0.57
OIL;1.7083;1.8827;6.5;1.4;3.4;5.1;-0.68;0.22;1;1.68;0.78;0.9
OIL;1.7833;1.91;1.2;-0.5;0.08;1.7;-0.45;0.4;1;1.45;0.6;0.85
OIL;1.6662;1.9202;2.45;0;0.4;2.45;-0.18;0.6;1;1.18;0.4;0.78
OIL;1.6745;1.9234;2.4;-0.1;1.1;2.5;-0.35;-0.2;1;1.35;1.2;0.15
OIL;1.3278;1.9611;2.2;-1.2;1.05;3.4;0.58;-0.56;1;0.42;1.56;1.14
OIL;1.6313;1.7351;3.1;1;2.1;2.1;0.61;0.1;1;0.39;0.9;0.51
OIL;1.5587;1.7011;1.68;0.48;1.25;1.2;0.55;0.12;1;0.45;0.88;0.43
OIL;1.5644;1.7485;1.95;0.82;1.6;1.13;0.9;0.22;1;0.1;0.78;0.68
OIL;1.5427;1.8082;1.68;-0.08;0.78;1.76;0.3;0.29;1;0.7;0.71;0.01
OIL;1.4646;1.8677;3.36;1.64;2.61;1.72;0.46;0.43;1;0.54;0.57;0.03
OIL;1.4763;1.8871;2.9;0.1;2.45;2.8;1;-0.76;1;0;1.76;1.76
OIL;1.478;1.8808;3.2;0;2.3;3.2;1;-0.2;1;0;1.2;1.2
OIL;1.4523;1.8689;3.42;1.82;3.04;1.6;0.96;0.21;1;0.04;0.79;0.75
OIL;1.4432;1.878;2.26;0.75;0.9;1.51;-0.87;0.2;1;1.87;0.8;1.07
OIL;1.4579;1.8631;4.8;1.8;3.75;3;-0.4;-1.45;1;1.4;2.45;1.05
OIL;1.4492;1.8802;3.88;2.61;3.72;1.27;1;-0.1;1;0;1.1;1.1
OIL;1.4499;1.8722;4.8;1.51;3.5;3.29;0.27;-0.68;1;0.73;1.68;0.95
OIL;1.43231;1.851;5.25;1.9;4.29;3.35;-0.1;-2.1;1;1.1;3.1;2
OIL;1.4086;1.8452;4.6;1.46;4.1;3.14;0.75;-2.1;1;0.25;3.1;2.85
OIL;1.5229;1.9308;3.35;0.9;3.1;2.45;1;-0.9;1;0;1.9;1.9
OIL;1.4993;1.9336;3.18;0.95;2.85;2.23;1;-0.7;1;0;1.7;1.7
OIL;1.4846;1.9353;3.25;1;3.1;2.25;1;-0.9;1;0;1.9;1.9
OIL;1.4758;1.9344;3.3;1;3.13;2.3;1;-0.92;1;0;1.92;1.92
OIL;1.4754;1.9361;3.33;1;3.11;2.33;1;-0.94;1;0;1.94;1.94
